method,obc(%),obcc(%),gap(pp)
com.thoughtworks.xstream.core.JVM.isVersion,66.66667,50.0,16.666672
com.thoughtworks.xstream.converters.collections.MapConverter.canConvert,91.66667,41.666664,50.000008
com.thoughtworks.xstream.converters.extended.DynamicProxyConverter.unmarshal,57.14286,28.57143,28.57143
com.thoughtworks.xstream.io.xml.AbstractPullReader.moveDown,75.0,50.0,25.0
com.thoughtworks.xstream.io.xml.xppdom.XppDom.getChildCount,50.0,50.0,0.0
com.thoughtworks.xstream.converters.enums.EnumMapConverter.canConvert,75.0,25.0,50.0
com.thoughtworks.xstream.io.xml.PrettyPrintWriter.writeText,95.55556,42.22222,53.333336
com.thoughtworks.xstream.mapper.LocalConversionMapper.getConverterFromItemType,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.ISO8601GregorianCalendarConverter.<init>,50.0,50.0,0.0
com.thoughtworks.xstream.core.util.Cloneables.clone,100.0,87.5,12.5
com.thoughtworks.xstream.io.xml.XppDomWriter.createNode,100.0,50.0,50.0
com.thoughtworks.xstream.core.util.QuickWriter.write,100.0,25.0,75.0
com.thoughtworks.xstream.mapper.LocalConversionMapper.getLocalSingleValueConverter,75.0,25.0,50.0
com.thoughtworks.xstream.core.util.CustomObjectInputStream$CustomGetField.get,27.777779,16.666668,11.111111
com.thoughtworks.xstream.io.path.PathTracker.pushElement,100.0,66.66667,33.33333
com.thoughtworks.xstream.core.ReferenceByIdUnmarshaller.getCurrentReferenceKey,50.0,50.0,0.0
com.thoughtworks.xstream.security.AnyTypePermission.equals,75.0,50.0,25.0
com.thoughtworks.xstream.XStream.addPermission,83.33333,16.666668,66.66666
com.thoughtworks.xstream.converters.collections.ArrayConverter.marshal,100.0,50.0,50.0
com.thoughtworks.xstream.converters.reflection.FieldDictionary.fieldOrNull,100.0,50.0,50.0
com.thoughtworks.xstream.converters.extended.PropertyEditorCapableConverter.canConvert,50.0,50.0,0.0
