method, missed_branch, covered_branch, total_branch
com.thoughtworks.xstream.io.xml.StaxDriver$2.<init>,0,0,0
com.thoughtworks.xstream.io.ReaderWrapper.appendErrors,0,0,0
com.thoughtworks.xstream.io.xml.XomReader.getNodeName,0,0,0
com.thoughtworks.xstream.converters.extended.ThrowableConverter.canConvert,1,3,4
com.thoughtworks.xstream.converters.enums.EnumToStringConverter.<init>,0,0,0
com.thoughtworks.xstream.core.ReferenceByIdMarshallingStrategy.<init>,0,0,0
com.thoughtworks.xstream.converters.reflection.SerializationMethodInvoker.flushCache,0,0,0
com.thoughtworks.xstream.core.DefaultConverterLookup.lookupConverterForType,7,9,16
com.thoughtworks.xstream.converters.extended.EncodedByteArrayConverter.canConvert,1,5,6
com.thoughtworks.xstream.core.util.WeakCache.entrySet,1,1,2
com.thoughtworks.xstream.io.path.PathTrackingWriter.endNode,0,0,0
com.thoughtworks.xstream.converters.extended.LocaleConverter.underscorePositions,0,4,4
com.thoughtworks.xstream.converters.javabean.BeanProvider.propertyDefinedInClass,0,2,2
com.thoughtworks.xstream.io.xml.XomDriver.createBuilder,1,1,2
com.thoughtworks.xstream.io.xml.XppDomReader.getChild,0,0,0
com.thoughtworks.xstream.mapper.AnnotationMapper.processConverterAnnotations,3,13,16
com.thoughtworks.xstream.converters.collections.TreeMapConverter.<init>,0,0,0
com.thoughtworks.xstream.core.util.ThreadSafeSimpleDateFormat.parse,0,0,0
com.thoughtworks.xstream.converters.extended.SubjectConverter.unmarshal,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap$ArraySetComparator.<init>,0,0,0
com.thoughtworks.xstream.io.xml.XomDriver.createReader,0,0,0
com.thoughtworks.xstream.annotations.AnnotationReflectionConverter.unmarshallField,0,2,2
com.thoughtworks.xstream.io.xml.SaxWriter.setErrorHandler,1,1,2
com.thoughtworks.xstream.io.xml.XomWriter.<init>,0,0,0
com.thoughtworks.xstream.converters.extended.FontConverter.canConvert,1,5,6
com.thoughtworks.xstream.converters.javabean.BeanProvider.visitSerializableProperties,1,5,6
com.thoughtworks.xstream.io.naming.StaticNameCoder.invertMap,2,0,2
com.thoughtworks.xstream.io.xml.AbstractDocumentWriter.flush,0,0,0
com.thoughtworks.xstream.XStream.ignoreUnknownElements,1,1,2
com.thoughtworks.xstream.core.AbstractReferenceMarshaller.convert,1,13,14
com.thoughtworks.xstream.security.RegExpTypePermission.getPatterns,1,3,4
com.thoughtworks.xstream.converters.basic.DateConverter.<clinit>,5,5,10
com.thoughtworks.xstream.converters.extended.SubjectConverter.<init>,0,0,0
com.thoughtworks.xstream.converters.javabean.BeanProvider.<init>,0,0,0
com.thoughtworks.xstream.converters.collections.PropertiesConverter.unmarshal,0,6,6
com.thoughtworks.xstream.io.path.Path.apply,0,10,10
com.thoughtworks.xstream.mapper.AnnotationMapper$UnprocessedTypesSet.add,3,15,18
