method,missed_stmt,covered_stmt,total_stmts
com.thoughtworks.xstream.io.WriterWrapper.endNode,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.getInstance,9,0,9
com.thoughtworks.xstream.converters.ErrorWritingException.addData,0,5,5
com.thoughtworks.xstream.io.naming.NoNameCoder.encodeAttribute,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.defaultWriteObject,1,0,1
com.thoughtworks.xstream.mapper.FieldAliasingMapper.omitField,2,0,2
com.thoughtworks.xstream.converters.time.ValueRangeConverter.unmarshal,14,0,14
com.thoughtworks.xstream.io.binary.BinaryStreamReader.appendErrors,0,0,0
com.thoughtworks.xstream.core.JVM.supportsSwing,1,0,1
com.thoughtworks.xstream.io.xml.AbstractXmlReader.unescapeXmlName,0,1,1
com.thoughtworks.xstream.converters.time.DurationConverter.fromString,5,0,5
com.thoughtworks.xstream.converters.propertyWriteable,2,0,2
com.thoughtworks.xstream.mapper.CGLIBMapper.serializedClass,5,0,5
com.thoughtworks.xstream.io.xml.Dom4JDriver.close,3,0,3
com.thoughtworks.xstream.io.xml.XppReader.getAttributeCount,0,1,1
com.thoughtworks.xstream.core.util.CustomObjectOutputStream.writeDouble,1,0,1
com.thoughtworks.xstream.io.binary.Token.StartNode,0,3,3
com.thoughtworks.xstream.converters.extended.SubjectConverter.populateSet,7,0,7
com.thoughtworks.xstream.converters.collections.BitSetConverter.canConvert,0,1,1
com.thoughtworks.xstream.converters.reflection.ExternalizableConverter.readResolve,2,0,2
com.thoughtworks.xstream.io.binary.Token.equals,6,0,6
com.thoughtworks.xstream.mapper.DefaultMapper.aliasForSystemAttribute,0,1,1
com.thoughtworks.xstream.core.ReferencingMarshallingContext.null,0,0,0
com.thoughtworks.xstream.core.util.PresortedMap.lastKey,1,0,1
com.thoughtworks.xstream.security.ProxyTypePermission.hashCode,1,0,1
com.thoughtworks.xstream.converters.collections.AbstractCollectionConverter.createCollection,5,4,9
com.thoughtworks.xstream.XStream.writeToStream,1,0,1
com.thoughtworks.xstream.mapper.AbstractAttributeAliasingMapper.readResolve,5,0,5
com.thoughtworks.xstream.core.util.Base64JAXBCodec.decode,0,1,1
com.thoughtworks.xstream.converters.reflection.AbstractAttributedCharacterIteratorAttributeConverter.buildAttributeMap,23,0,23
com.thoughtworks.xstream.converters.reflection.PureJavaReflectionProvider.getFieldOrNull,0,1,1
com.thoughtworks.xstream.mapper.AnnotationMapper.defaultImplementationOf,0,6,6
com.thoughtworks.xstream.mapper.ElementIgnoringMapper.addElementsToIgnore,1,0,1
com.thoughtworks.xstream.core.util.CustomObjectInputStream.readUnsignedByte,1,0,1
com.thoughtworks.xstream.io.xml.XomDriver.createWriter,2,0,2
